 Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size
motorcycle_Yamaha_FZS-FI          6          6       0.34      0.167      0.279      0.238
motorcycle_Yamaha_Fazer          4          4          1          0     0.0167      0.015
motorcycle_Yamaha_Libero          1          1          1          0     0.0146     0.0102
  scooter_Bajaj_Chetak         26         27       0.67       0.37      0.501      0.333
     scooter_Hero_Duet          3          3          0          0          0          0
  scooter_Hero_Maestro         26         28       0.51      0.107      0.202      0.153
 scooter_Hero_Pleasure         10         10          1          0      0.263      0.239
  scooter_Honda_Activa        304        437       0.68      0.735      0.762      0.534
 scooter_Honda_Aviator          5          5          0          0     0.0253    0.00872
     scooter_Honda_Dio         44         46      0.643      0.275      0.352      0.214
scooter_Mahindra_Gusto          1          1          1          0     0.0184    0.00369
        scooter_Others         16         17          0          0     0.0298     0.0192
 scooter_Suzuki_Access         46         50        0.6        0.4      0.441        0.3
   scooter_TVS_Jupiter         23         23      0.425      0.217      0.228      0.183
     scooter_TVS_Ntorq          3          3      0.636      0.333      0.354      0.284
       scooter_TVS_Pep         13         13      0.512      0.154      0.238      0.146
    scooter_TVS_Streak          1          1          0          0          0          0
      scooter_TVS_Wego         17         18      0.474      0.389      0.376      0.266
      scooter_TVS_Zest          1          1          1          0     0.0553     0.0387
  scooter_Vespa_VXL125          5          5      0.333        0.4      0.437      0.285
scooter_Yamaha_Fascino125          5          5      0.295        0.2      0.357      0.304
  scooter_Yamaha_RayZR          4          4      0.448       0.25      0.309      0.243
    truck_AshokLeyland         23         23      0.716      0.478      0.584       0.53
      truck_BharatBenz          2          2      0.223        0.5      0.528      0.525
          truck_Eicher         34         36      0.701      0.778      0.802      0.664
        truck_Mahindra         19         19      0.369      0.308      0.247      0.191
          truck_Others         61         65       0.45      0.415      0.407      0.352
             truck_SML          1          1          1          0          0          0
            truck_Tata         79         84      0.553      0.619      0.636      0.525
Speed: 0.2ms preprocess, 2.6ms inference, 0.0ms loss, 1.5ms postprocess per image
Results saved to runs/detect/train
💡 Learn more at https://docs.ultralytics.com/modes/train
